Filling_Date,revenuePerShare
2021-07,50.39228295819936
2021-04,49.13321492007105
2021-01,53.6812566184257
2020-10,47.549594069890574
2020-07,48.63771186440678
2020-04,47.5528081949841
2020-01,49.95451339915374
2019-10,45.01969750263806
2019-07,45.69821240799159
2019-04,43.19449285465319
2019-01,47.925759668508285
2018-10,42.71340629274966
2018-07,43.45824847250509
2018-04,41.58983050847458
2018-01,46.05170665765461
2017-10,41.32136866823214
2017-07,41.008976063829785
2017-04,38.728830313014825
2017-01,42.71973898858075
2016-10,38.258012301715766
2016-07,38.87230620778385
2016-04,36.86513994910941
2016-01,40.698995605775266
2015-10,36.57570093457944
2015-07,37.32660664389941
2015-04,35.53884246363355
2015-01,40.73219814241486
2014-10,36.853824713533605
2014-07,37.190402476780186
2014-04,35.558304979894835
2014-01,40.032716049382714
2013-10,35.519803500153515
2013-07,35.67571690054911
2013-04,34.591638897303845
2013-01,38.299101796407186
2012-10,33.867122473246134
2012-07,33.77541371158392
2012-04,33.15283074215312
2012-01,35.95125510799767
2011-10,31.995936139332365
2011-07,31.49942396313364
2011-04,29.793823277094653
2011-01,32.78670047900817
2010-10,28.18689521703069
2010-07,28.064393939393938
2010-04,26.520053120849933
2010-01,29.8688567674113
2009-10,25.814333939236562
2009-07,25.93420714469288
2009-04,27.7014470677837
2009-01,27.807339449541285
2008-10,25.09336046807428
2008-07,26.024588086185044
2008-04,24.084660096032348
2008-01,26.51888422611701
2007-10,22.69785238212787
2007-07,22.674792784007803
2007-04,20.96312469674915
2007-01,23.765411369633007
2006-10,20.26073398896618
2006-07,20.496641074856047
2006-04,19.310775137988962
2006-01,21.63937575030012
2005-10,18.308043217286915
2005-07,18.567664670658683
2005-04,16.95364238410596
2005-01,19.523573785950024
2004-10,16.327439886845827
2004-07,16.525797373358348
2004-04,15.240568234746158
2004-01,17.23750573131591
2003-10,14.450939935809261
2003-07,14.443124714481499
2003-04,13.046967624259006
2003-01,16.19226419362135
2002-10,13.420040714770414
2002-07,13.577061739522307
2002-04,12.447888589398023
2002-01,14.547394429469902
2001-10,11.915360501567399
2001-07,11.917002237136465
2001-04,10.862223216282711
2001-01,12.766495191232387
2000-10,10.335944494180842
2000-07,10.434042553191489
2000-04,9.748036796051155
2000-01,11.637648642584699
1999-10,9.184328693309384
1999-07,8.743820224719101
1999-04,7.89458305237132
1999-01,9.271072151045178
1998-10,7.602868668758404
1998-07,7.5760286225402504
1998-04,6.72846943328871
1998-01,7.981481481481482
1997-10,6.462050599201065
1997-07,6.349336283185841
1997-04,5.642355008787346
1997-01,6.859182776801406
1996-10,5.683740191804708
1996-07,5.632955536181343
1996-04,5.015481901439163
1996-01,6.085695595290013
1995-10,5.048127177700349
1995-07,5.010235191637631
1995-04,4.495428820200261
